"id","kjonn","aldersgruppe","landsdel","utdanning","venstre_hoyre","parti","tillit_nyheter","unngar_nyheter","ki_bruk","bruker_chatgpt","ki_konsekvenser","ki_eller_journalist","tillit_ki_redaksjoner","eksp_kilde","tillit_bilde"
1,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",7,NA,4,"Ja, men sjelden",5,1,4,5,4,"heiVG",3
2,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"Rødt",3,"Nei, aldri",1,1,1,1,1,"heiVG",2
3,"Kvinne","65+","Agder og Rogaland","Universitet/høyskole 5+ år",4,NA,3,"Nei, aldri",0,0,3,1,3,"ChatGPT",2
4,"Mann","65+","Trøndelag","Grunnskole/videregående",5,"Annet parti",2,"Ja, men sjelden",0,0,2,5,1,"Forsker",4
5,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Fremskrittspartiet",3,"Nei, aldri",3,1,2,2,2,"Forsker",2
6,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",5,"Arbeiderpartiet",3,"Ja, men sjelden",4,1,4,2,3,"Forsker",2
7,"Kvinne","65+","Vestlandet","Grunnskole/videregående",5,"Høyre",4,"Nei, aldri",0,0,4,5,3,"Grok",1
8,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",3,"Ja, men sjelden",1,0,4,4,4,"Forsker",3
9,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"MDG",4,"Ja, noen ganger",0,0,3,2,3,"Gemini",3
10,"Mann","35-44","Sør-Østlandet","Grunnskole/videregående",5,"Fremskrittspartiet",2,"Nei, aldri",3,0,4,3,3,"Forsker",2
11,"Mann","55-64","Agder og Rogaland","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",3,"Ja, men sjelden",0,0,NA,2,3,"Forsker",2
12,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Høyre",4,"Ja, men sjelden",1,0,3,2,3,"Forsker",2
13,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Rødt",2,"Ja, noen ganger",0,0,2,4,NA,"heiVG",2
14,"Mann","45-54","Vestlandet","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Ja, noen ganger",1,1,2,1,4,"Forsker",4
15,"Mann","45-54","Agder og Rogaland","Grunnskole/videregående",7,"Annet parti",2,"Ja, store deler av tiden",0,0,2,2,2,"heiVG",3
16,"Mann","45-54","Agder og Rogaland","Grunnskole/videregående",10,"Annet parti",2,"Ja, men sjelden",1,1,4,5,1,"ChatGPT",3
17,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",3,"Ja, noen ganger",2,1,3,5,2,"Forsker",3
18,"Mann","25-34","Nord-Norge","Grunnskole/videregående",4,"Venstre",3,"Ja, men sjelden",3,1,4,4,2,"Grok",2
19,"Mann","35-44","Nord-Norge","Universitet/høyskole 5+ år",3,"MDG",4,"Nei, aldri",0,0,3,2,2,"Gemini",2
20,"Kvinne","35-44","Nord-Norge","Universitet/høyskole 5+ år",2,"MDG",3,"Ja, noen ganger",4,1,2,4,3,"Grok",4
21,"Mann","25-34","Oslo og Akershus","Grunnskole/videregående",2,"Arbeiderpartiet",4,"Ja, men sjelden",1,0,3,2,4,"Forsker",4
22,"Mann","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",7,"Fremskrittspartiet",2,"Nei, aldri",5,1,5,5,4,"Gemini",2
23,"Mann","55-64","Agder og Rogaland","Universitet/høyskole 5+ år",6,"KrF",3,"Ja, men sjelden",1,0,3,1,3,"Forsker",3
24,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",1,"SV",4,"Ja, men sjelden",1,0,1,1,2,"ChatGPT",2
25,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",0,"Annet parti",2,"Ja, noen ganger",5,1,4,2,5,"heiVG",1
26,"Mann","25-34","Trøndelag","Universitet/høyskole 5+ år",2,"SV",3,"Ja, noen ganger",4,0,3,3,3,"Grok",1
27,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Nei, aldri",0,0,2,1,3,"ChatGPT",1
28,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",2,"MDG",4,"Ja, noen ganger",4,0,NA,3,5,"heiVG",2
29,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",8,"Høyre",4,"Nei, aldri",5,0,4,4,3,"heiVG",3
30,"Mann","45-54","Vestlandet","Grunnskole/videregående",8,"Fremskrittspartiet",2,"Nei, aldri",0,0,3,2,3,"Gemini",2
31,"Kvinne","18-24","Oslo og Akershus","Universitet/høyskole 1-4 år",NA,NA,3,"Ja, noen ganger",0,0,1,2,3,"Forsker",2
32,"Mann","45-54","Vestlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Ja, men sjelden",2,1,4,2,3,"Grok",1
33,"Kvinne","55-64","Vestlandet","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",3,"Nei, aldri",1,0,2,1,3,"Gemini",1
34,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",NA,NA,3,"Nei, aldri",5,1,NA,NA,NA,"Forsker",NA
35,"Mann","45-54","Vestlandet","Grunnskole/videregående",2,"Høyre",2,"Ja, men sjelden",2,1,4,2,1,"ChatGPT",1
36,"Kvinne","55-64","Nord-Norge","Universitet/høyskole 5+ år",5,"KrF",2,"Ja, noen ganger",4,1,3,1,2,"Forsker",1
37,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",5,"Fremskrittspartiet",4,"Nei, aldri",3,1,5,5,4,"Forsker",5
38,"Kvinne","65+","Oslo og Akershus","Grunnskole/videregående",10,"Fremskrittspartiet",2,"Ja, store deler av tiden",3,0,4,4,4,"Grok",1
39,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"Rødt",3,"Nei, aldri",0,0,1,1,3,"Gemini",1
40,"Kvinne","55-64","Oslo og Akershus","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Nei, aldri",5,1,5,4,3,"Gemini",3
41,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",3,"MDG",3,"Nei, aldri",2,1,1,1,1,"heiVG",2
42,"Kvinne","55-64","Vestlandet","Universitet/høyskole 5+ år",1,"Rødt",3,"Nei, aldri",1,0,2,1,1,"Forsker",2
43,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",2,"SV",3,"Ja, noen ganger",3,1,4,4,3,"Forsker",2
44,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",1,"Annet parti",2,"Nei, aldri",3,1,2,4,2,"ChatGPT",1
45,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",4,"Nei, aldri",4,0,4,4,4,"heiVG",2
46,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,NA,4,"Ja, men sjelden",1,1,4,4,4,"Forsker",2
47,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",10,"Fremskrittspartiet",3,"Nei, aldri",0,0,4,4,3,"Grok",1
48,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Rødt",3,"Ja, noen ganger",2,1,1,2,3,"ChatGPT",2
49,"Mann","65+","Sør-Østlandet","Grunnskole/videregående",5,"Arbeiderpartiet",4,"Nei, aldri",4,1,4,5,3,"heiVG",5
50,"Kvinne","65+","Vestlandet","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",2,"Ja, noen ganger",4,1,4,1,2,"Forsker",NA
51,"Kvinne","18-24","Agder og Rogaland","Grunnskole/videregående",NA,NA,4,"Nei, aldri",3,1,4,4,3,"Gemini",3
52,"Kvinne","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",3,"Ja, men sjelden",0,0,1,2,2,"heiVG",2
53,"Mann","65+","Trøndelag","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Nei, aldri",1,0,4,3,4,"Forsker",2
54,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",8,"Høyre",3,"Nei, aldri",4,1,4,4,3,"heiVG",2
55,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",7,NA,2,"Nei, aldri",3,1,4,3,2,"ChatGPT",3
56,"Mann","25-34","Trøndelag","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",3,"Nei, aldri",3,1,4,3,4,"Forsker",4
57,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 5+ år",7,"Høyre",3,"Nei, aldri",1,0,1,2,1,"Forsker",1
58,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",3,"MDG",3,"Ja, men sjelden",2,0,2,1,3,"ChatGPT",NA
59,"Mann","45-54","Nord-Norge","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",4,"Ja, noen ganger",2,1,2,2,2,"heiVG",3
60,"Mann","45-54","Oslo og Akershus","Grunnskole/videregående",5,"Senterpartiet",3,"Nei, aldri",1,1,2,3,3,"Gemini",2
61,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",3,"Rødt",4,"Ja, store deler av tiden",0,0,2,4,4,"Grok",1
62,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Høyre",2,"Nei, aldri",2,0,4,NA,1,"heiVG",NA
63,"Mann","65+","Nord-Norge","Grunnskole/videregående",9,"Fremskrittspartiet",1,"Nei, aldri",0,0,2,3,1,"Forsker",2
64,"Mann","25-34","Sør-Østlandet","Grunnskole/videregående",7,NA,4,"Nei, aldri",2,1,4,1,3,"Gemini",2
65,"Mann","45-54","Agder og Rogaland","Grunnskole/videregående",6,"Annet parti",1,"Ja, noen ganger",4,1,3,2,2,"Gemini",3
66,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",5,NA,4,"Nei, aldri",2,1,4,2,3,"ChatGPT",3
67,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",10,"Høyre",3,"Nei, aldri",0,0,4,3,4,"Gemini",3
68,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",8,"Høyre",4,"Nei, aldri",3,1,2,1,3,"Grok",2
69,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",6,NA,4,"Ja, men sjelden",4,1,4,5,4,"ChatGPT",2
70,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",6,NA,4,"Ja, noen ganger",1,1,2,1,1,"Gemini",1
71,"Kvinne","45-54","Nord-Norge","Grunnskole/videregående",4,"SV",4,"Ja, store deler av tiden",3,1,4,3,4,"heiVG",2
72,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",8,"Høyre",4,"Nei, aldri",1,0,4,5,4,"ChatGPT",4
73,"Mann","65+","Nord-Norge","Universitet/høyskole 5+ år",7,"Høyre",3,"Nei, aldri",2,1,4,4,3,"heiVG",3
74,"Mann","25-34","Trøndelag","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",4,"Nei, aldri",3,0,4,2,3,"Forsker",4
75,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Arbeiderpartiet",2,"Ja, noen ganger",0,0,2,4,1,"Forsker",3
76,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Nei, aldri",2,1,4,2,3,"Gemini",3
77,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",4,"Senterpartiet",3,"Ja, noen ganger",4,1,4,4,3,"Gemini",2
78,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"SV",4,"Nei, aldri",1,1,2,2,3,"Gemini",NA
